" Bowling Green State University. Center for Archival Collections.""", Jerome Library 5th Floor, Bowling Green,OH,43403-0175 ,419/372-2411,Fax 419/372-0155,, ," Tues. - Friday 8:00am till 5:00pm, Monday 8:00 am - 9:00 pm during academic year; M-F, 8 am-5pm in summer.","Research, preservation, conservation, microfilm.", http://www.bgsu.edu/colleges/library/cac.html ,,,,,,,
 Advanced Articulators Toastmasters, 2nd & Elm Street, Perrysburg,OH,43551,419-340-2666,,Nancy Zychowicz, , Every 3rd & 5th Friday of the month. 6:45pm.,"Education-public speaking, leadership, and mentoring.", http://8109.toastmastersclub.org ,,,,,,,
 Westside Toastmasters, 1546 Rocket Hall University of Toledo, Toledo,OH ,43606,567-336-2871,,Heather Lane hdltoast@gmail.com, ," 1st, 3rd, 5th Monday of the month at 6:30pm.","Education, public speaking, leadership and mentoring.", http://4578westside.toastmastersclub.org ,,,,,,,
 Zen Toastmasters, 101 E indiana Ave. Way Public Library, Perrysburg,OH,43551,567-336-2871,,Heather Lane hdltoast@gmail.com, , 2nd & 4th Monday of the month at 6:00pm,"Education, public speaking, leadership and mentoring.", http://2547.toastmastersclubs.org ,,,,,,,
 Speakers Club Toastmaters," One Michael Owens Way Plaza 2 Owens-Illinios, Inc.", Perrysburg,PH,43551,567-336-2871,,Heather Lane hdltoast@gmail.com, , 2nd & 4th Thursday of the month at 12:00pm.,"Education, public speaking, leadership and mentoring.", http://7993.toastmastersclubs.org ,,,,,,,
 Women's Initative of United Way, 424 Jackson St, Toledo,OH,43604,419-254-4677,,Meg Ressner, ," 3rd Monday, Bi-monthly at 3:30 p.m.","Women's Initiative mobilizes women to become leaders, advocates, and philanthropists on issues concerning women and children.", ,,,,,,,
 Girl Develop It Toledo, 25 S St. Clair, Toledo,OH,43604,,,Lindsey Danforth,President , ,"Girl Develop It is a nonprofit organization that exits to provide affordable and accessible programs to women who want to learn web and software development through mentorship and hands-on instruction. Our vision is to create a network of empowered women confident in their abilities to code and build beautiful web and mobile applications. By teaching women around the world from diverse backgrounds to learn software development, we can help women improve their careers and confidence in their everyday lives.", http://www.meetup.com/Girl-develop-It-Toledo ,,,,,,,
 Girl Develop It Toledo, 25 S St. Clair, Toledo,OH,43604,,,Lindsey Danforth,President , ,"Girl Develop It is a nonprofit organization that exits to provide affordable and accessible programs to women who want to learn web and software development through mentorship and hands-on instruction. Our vision is to create a network of empowered women confident in their abilities to code and build beautiful web and mobile applications. By teaching women around the world from diverse backgrounds to learn software development, we can help women improve their careers and confidence in their everyday lives.", http://www.meetup.com/Girl-develop-It-Toledo ,,,,,,,
 Glass City Dog Park, 2201 Ottawa Dr., Toledo,Oh,43606,567-3070703,,, , Daily. Sunrise to sunset.,"Our mission is to foster and promote off-leash opportunities for dogs in the Toledo area and provide support to organizations who benefit the pet community, bringing together both dogs and humans alike.", http://www.glasscitydogpark.org ,,,,,,,
 Adoption Network Cleveland - NW Ohio chapter, Meet at the Sanger Branch Library. 3030 W. Central Ave. , Toledo,OH, ,216-325-1000,,, ," 4/12, 5/26, 6/22, 7/27, 8/24 from 6:00pm to 8:00pm.","General support and discussion meeting for and adult adoptee, adoptive parents, birth parent, sibling, significant other, professional or student or anyone interested in the lifelong journey of adoption.", www.adoptionnetwork.org ,,,,,,,
 StartUp Toledo, Various venues, ,, ,419-215-9322,,W. Gene Powell,President , Typically Third Thursdays of the month.,"StartUp Toledo is a celebration of Toledo's StartUp community, innovators, entrepreneurs and creative who are driving the new economic engine of the Toledo Region. Each month, StartUp attendees enjoy socializing and networking, as well as gaining insights and inspiration from our talented speakers.", http://www.startuptoledo.com ,,,,,,,
 Voices 4 the Unheard, 325 North Michigan St, Toledo,OH,43604,567-298-8440,,Tina Sprouse, , Ever second Saturday of the month. 3pm.,Anti bullying. We go out to eat. We also do different activities that the members would like to do. We try and spread the word about how to end bullying., ,,,,,,,
" Phi Beta Sigma Fraternity, Inc.", 325 North Michigan, Toledo,OH,43604,419-266-0024,,Jason Coleman-Blackshed, , Every second Saturday 10:00am to 12:00pm.,"Community service, social service and Bigger Better Business.", ,,,,,,,
 Tree Toledo, 3650 Grantley Rd, Toledo,OH,43613,419-474-8801,,Tom McDonald, , 6:30 PM. Monthly. Location varies - usually at a public library branch. Enquire at: treetoledo@gmail.com or treetoledo.org,Goal is to mitigate climate change by providing fee seedlings for planting by Toledo are residents. Partners with local groups such as the metro parks to plant trees and promote a healthy environment., https://www.treetoledo.org ,,,,,,,
 Black Swamp Ice Frogs, BGSU Ice Arena, Bowling Green,OH,43402,440-725-7840,,Michael J. Howick, , Sundays at 5pm,Activities are designed for players with developmental disabilities. We give people of all ages and abilities a chance to learn and grow by playing hockey. We are non-contact., ,,,,,,,
 Children's Discovery Center, 7033 Lighthouse Way, Perrysburg,OH,43551,419-872-4510,,Kristin Tansel,Administrator ," 6:30am - 6:15pm, Monday - Friday","Reggio Emilia philosophy used. Christian based chapel lessons. Morning preschool program with circle time, art, outdoor activities, learning centers, cooking projects, story time, etc. Noon-lunch; 1-2 nap, 3-6 learning centers, outdoor activities, etc. Outdoor areas of playground have climbers, sand areas and water play activities. Morning snack, lunch, afternoon snack. Rated Step 2 on 'Step Up to Quality' program. We have chartered non-public kindergarten program, and 1st and 2nd grade chartered programs.", http://www.childrensdiscoverycenters.com ,,,,,,,
 Lucas County Pit Crew, 855 N. McCord, Toledo,OH,43615,419-708-8848,,Jean Keating,Executive Director , ,"LCPC is a 501(c)3 non-profit all volunteer organization that rescues pit bull terrier type dogs in our community. We provide training, free spay/neuter vouchers and fun events for dog lovers.", http://lucascountypitcrew.com ,,,,,,,
 Glass City Mashers, , ,, ,419-340-2589,,Scott Yarnell,President , Second Thursday of each month. 7:00pm,We are a homebrew club that promotes the sharing of knowledge between the members and the education of brewing and judging. The Glass City Mashers hold meetings each month and host several special events during the year., ,,,,,,,
 WordPress Toledo," Alternates between Toledo-Lucas Co. Public Library Main Branch (325 N. Michiganst. Toledo, OH) & Seed Coworking (25 South St. Clair, Toledo, OH)", Toledo,OH,43604,734-652-3113,,Sarah Collins, ," Dates & Times of Meetings Vary, please see http://meetup.com/WordPressToledo/events to see calendar of upcoming events and to RSVP.","WordPress Toledo is open to all enthusiasts, users, designers and developers to WordPress to sharpen or share their WordPress skills. Meetings focus on networking, education and sharing tips and general WordPress, web design/development and tech discussions.", ,,,,,,,
 Mothers Center of Greater Toledo, P.O. Box 350654, Toledo,OH,443635,,,Kate Fineske,Assistant Executive Director , ,"The Mothers center of Greater Toledo is a non-profit organization for mothers and their families. It is a non-judgmental environment in which mothers can: seek education, create friendships, share experiences and receive positive reinforcement in their roles as women and parents.", http://wwwmotherscenter.net ,,,,,,,
 INTERLINK, 1002 Garden Lake Pkwy, Toledo,OH,43614,419-720-3935,419-720-3938,, , Varies,"Community Center for the Deaf/Hard of hearing/Deaf-Blind in NW Ohio. We provide 5 core services: System & Individual Advocacy, Peer Mentoring, Independent Living Training, Interpreting Services, Speech-To-Text Services, and Information and Referral. Provide additional support through: American Sign Language Classes, Speaker's Bureau, Mission. To empower the Deaf and Hard of Hearing people and to promote access to communication, services and events in the community. Facebook.com/InterlinkNWO Twitter.com/InterlinkNWO", ,,,,,,,
" Association for Women in Science, Northwestern Ohio Chapter (AWIS-NWO)", , ,, ,419-539-1979,,Dr. Susanne Nonekowski,President , VariesMeeting place varies.,"Founded in 1971, the Association for Women in Science (AWIS) is the largest multi-disciplinary organization for women in science, technology, engineering, and mathematics (STEM). We are dedicated to driving excellence in STEM by achieving equity and full participation of women in all disciplines and across all employment sectors. AWIS reaches more than 20,000 professionals in STEM with members, chapters, and affiliates worldwide.", http://astro1.panet.utoledo.edu/~nmd/AWIS ,,,,,,,
 Mercy Health - St. Vincent Medical Center - Outreach/Education/Prevention, 2409 Cherry St. Suite 303, Toledo,OH,43608,419-251-3230,,Nicole Knepper,Coordinator , 3rd Saturday of the month. 9am. to 1 pm.,"Youth Firesetter's Program. Class is held on the 3rd Saturday of the month. Must be pre-registered to attend. Parent or guardian must attend class with the child. Class begins at 9am and runs until approximately 1pm. We offer small group education classes for children who are fascinated with fire. Counselors meet with parents and children Education is provided by the Community Burn Educator and the Toledo Fire Department. Pretty Poisons: Education for children to discuss the dangers of common household items. During the program, 'Spike' the porcupine is used as a character to help describe what to do around safe versus unsafe things. For example, around poisons, or things that are unknown, Spike would say, Quills up"," stay away""", and around safe thing Spike would say," ""Quills down"," it's ok"". Bike & Pedestrian Safety: Bike riding is a fun way to spend time as a family and get exercise. However", we must make sure kids are safe doing it. Bike helmets can reduce the risk of TBI's in a crash by eighty-eight percent, making helmet use the single most effective way to reduce brain injuries and fatalities resulting from bicycle crashes. SLIP: (Senior Lifestyle and Injury Prevention: Identifying hazards in the home and taking simple steps to correct them may prevent unforeseen injuries. Fatal motor vehicle collisions (MVC) occur three times more often in the older adult population. What can you do to decrease your risk of being involved in an MVC? Presentations available for small groups. Topics offered: Home Safety," Pedestrian Safety and Motor Vehicle Safety.""", 
 Toledo Ohio Ghost Hunters Society, 1322 Tennyson Court, Temperance,MI,48182,734-224-0003,,Harold St. John, , Last day of each month. 6pm,"The Toledo Ohio Ghost Hunters Society is a paranormal investigation team located in Northwest, Ohio. They take serious, scientific approach to investigating paranormal activity through documentation, research, and the use of various state of the art electronic equipment to investigate, debunk, and gather potential evidence of paranormal activity. The founders, Harold St. John and Butch Leon each have over 40 years of investigative experience in both residential and commercial properties. The TOGHS team is made up of a diverse group of investigators, from a variety of backgrounds. TOGHS has painstakingly built this highly specialized team to handle any type of potential haunting. TOGHS does not charge anything for their services, nor do they claim to have special abilities in the occult or psychic realm.", ,,,,,,,
